text,department
Respected Sir/Madam.  Everyday there is huge dumping of garbage here on the main road . Though it's not a garbage point . People from different areas come and throw garbage here. Even the hotel waste and construction waste is been thrown here. The BBMP is giving very poor facilities.  It has created a bad smell and children are falling sick very badly. So many Tb and malaria cases are been reported because of this . This is on the main road near 1st cross someshwarnagar jaynagar 1st block Bangalore 560011. Hoping for immediate action. People are constantly urinating here. Please take immediate action.,Sanitation
college fees not refunded,Education
Garbage being dumped and burnt causing lot of pollution in Ganigarahalli main road in front of Chikkabanavara lake,Sanitation
They will carry out a rapid health assessment and strengthen disease surveillance in collaboration with District Health Officers and WHOs Immunisation Preventable Disease (IPD) staff.,Health
The firefighting group is being enlarged now in case the situation becomes worse.,Safety
Water tanker delay issue,Water
"Moreover, due to the combined ravages of war, underdevelopment, terrain, and climate, poor infrastructure, and inaccessibility by overland routes from the south or high cost of transport to areas in the north - such as Mazar-e-Sharif and Badakhshan.",Transport
"Faced with extreme food insecurity in the north of the country, the government has adopted a new strategy combining limited free food distributions, subsidized cereals sales and the distribution of over 36,000 metric tons of food loans to be repaid after the harvest.The regrowth of pasture in Rajasthan has been helped by the rains.",Transport
"The search for bodies which may have been swept away will be extended to cover more than 20 kilometers (12 miles) downstream, said an official at the rescue coordination center in Medan city.",Safety
Garbage thrown on the street in front of Global College of engineering by even the educated lot. There is a need to not just clear this one time as this keeps happening. There is a need for a large bin to be placed so that people at least throw inside this bin and BBMP can collect the same from it. This will help clear this mess and also ever increasing stray dogs menace.,Sanitation
"I am a doctor travelling daily from Bengaluru south to jarakabande kaval area through airforce jalahalli .
From past 1 month the traffic at gangamma circle is simply getting worse due to unrepaired road . Please do something about it.",Roads
"The UN has received a list of medical supplies, drugs and resuscitation kits required from the Control Room in Gujarat.",Health
"Dear Sir/Madam,
Total Graveyard of Ramachandra ours is filled with sanitary drainage water. Almost all tombs where submerged with drain water and so many tombs gave away. I request concerned authorities look into the problem and clear the drain water as early as possible. Our elders and nearest dearest one are buried over there.",Health
"Rescuers in a helicopter plucked 12 Chinese sailors from a sinking cargo vessel as the storm approached the Chinese coast, Xinhua said.",Environment
"Respected bbmp officials in charge, 1st Cross WATER TANK road has 2 electric poles main, 1st led replaced recently when all our ward poles replaced but it is not working past 10days we have oral gave complaint  no one turned and saw 2nd pole old light is there not replaced, so senior  citizens and children's stay in street , to avoid in convince  in street Pl attend to these complaint in intrest  of citizens of these road.",Electricity
I would like information on the earthquake. When will the aftershocks end?,Safety
"This enabled CRWRC to continue with rehabilitation and reconstruction phases, and build 2,004 permanent earthquake resistant homes, dig 244 wells to provide access to potable drinking water as old ones were salinated, and provide temporary electricity with generators to 18 villages in addition to its short-term aid.",Water
Welfare delay,Municipal
Street light not working near home and full of darkness in area,Electricity
"TAIPEI, Nov 29 (AFP) - Two more earthquakes jolted Taiwan Monday, as thousands of people left homeless by a devastating tremor more than two months ago seem increasingly likely to face a chilly winter.",Housing
Explain the process to apply for birth certificate,Municipal
Please heart is breaking because I have no news of my mother ,Safety
"They've been living on dried noodles for three days, and using the filthy floodwater to cook.",Water
"We have helicopters, landing craft and amphibious assault vehicles that can go into flooded areas and remote areas, he said.",Transport
"Tropical Storm Sandy who? #MIAMI for stop 1 of the @basicphysics Halloween Weekend Tour.. @abbymaroon show me how law students roll!Starting to worry about Hurricane Sandy, any amateur meteorologists want to weigh in? http://t.co/eOFeQyxm",Environment
"Due to the road work, the workers put all garbage into vacate lands.  And it's stinking residents not able stay.  It's on ward no. 53",Sanitation
Manhole is damaged and causing trouble for vehicle  movement and rain water overflowing into our due to this.  No action taken till now when told personally,Health
"World Vision also provided fishing boats, nets, ice boxes, diesel engines, auto rickshaws, petty shops, and other livelihood recovery interventions in Andhra Pradesh.",Housing
"QINGLIAN, China, June 5, 2008 (AFP) - Over a million people living below China's dangerous ""quake lake"" were warned to prepare for the worst as the enormous body of water kept rising on Thursday to near bursting levels.",Environment
"There is always a power outage happening in this place basically. Unannounced power cut in everyday morning. Today there was an announcement of power outage from 2.30 to 6.30 pm, but the power cut happened from morning 10 am to till now i.e. 6.40pm yet to wait for power. The BESCOM is worst among all the government department in Karnataka.",Electricity
"Sewage Line Damage and Sanitary water outflowings 
Sewerage water is flowing out of the manhole continiously at No 18,  Udaya layout, 4th cross, Manganahalli, Yeshwanthpur hobli, Sulikere post, Bangalore 560060",Health
cockroach infestation in market,Animal Control
"hurricane sandy COULD be repeat of Irene (aka best weekend ever!) with @margotmiller &amp; @Tristanpz!!Hurrizard, or a Blizicane. Either way I don't like this storm coming our way! #mothernatureisbeingabitch",Environment
"The complaint was given already but no action has been taken. Again I am giving a complaint based on the same incident. I stay in the above mentioned address where the issue of garbage dumping is growing daily. There is no specific bin to dump the garbage nor we know when the corporation is coming to collect the garbage. There is no intimation of timing when to collect and if one throws the dump in the area, the same is being continued by all polluting my area. This increases lots of mosquitoes in my apartment. There are two hotels nearby who also pollute the area by dumping waste. I beg you to take necessary action in this for saving my area. Please take some action. If not I can go to the next step of complaining the higher authorities. Hope some action will be taken soon",Sanitation
"As part of the International Red Cross and Red Crescent Society's most recent response phase, they will operate a treatment centre for Ebola virus disease patients.",Health
New BEL circle,Electricity
"The Government has requested international assistance in the response to the disaster, with particular importance placed on the need search and rescue capacity, medical teams, supplies and tenting for hospitals, heavy equipment for rubble removal and helicopters for transport and access to blocked areas.",Transport
"Street lights not working for more than a month,even after several follow up those who are in charge are not ready to take action.",Electricity
"Hello - I am a victim of the quake, I am sending the message because we need 5 tents with food and water at Village EDEN, impasse desmangles ",Water
"The graph below also shows the seasonal nature of malnutrition, which is particularly rife in summer when high temperatures create conditions for water-borne bacteria to develop more easily - especially since water becomes scarce at this time of year.",Water
??????? ???? ???? ?????? ????????????? ??????????? ???? ???? ???????? ???? ??????? ??????????. ????????????? ????? ????????????. ???????? ??? ???? ??? ????.,Water
"since January 12th 2010 I don't find any water,shelter,rice and so on ",Water
"byebye power , should have stocked up on alcohol before this storm .",Transport
"Near anjaneya temple behind govt school kattigenhalli, fast 10 days water is not supplying our area the concern officer take action for the issue.",Water
"Pot holes in Arekere Bannerghatta Road , opposite side of Domino’s",Roads
Urination spot,Sanitation
Is there cyclone or earthquake again? ,Environment
"Sewage (Orchid Blossoms Apartment - Ambalipura, Harlur Road) is being let on the road and the neighbouring properties. Inspire of repeatedly inform them from past couple of months not let the sewage on the road and neighborhood. They are still letting it out , they are warning and threatening me if I question the above act. 
Photos and videos are attached.

Kindly take action

Regards
Rakesh
7259886594",Health
"Sewage manhole is broken about a month back and it is not yet repaired till now at Horamavu Agara Main road, near 4th Cross, Sri Sai Layout , Voddarapalaya.
it causes danger to elders, children and two wheelers.
please do repair it immediately before someone fell in that and die.

thanks.",Health
need / water food at corner Avenue Monseigneur Guilloux and impasse belle vue ,Water
"The storm water drain and pipe laying work on Sarjapura road is going on for ages now. The slowness of the work is really surprising. This photo is the state of the work in front of St.Peter's School. The work is half done 2 months ago and the rest half is still undone. The pothole seen in the picture is waiting to create a tragedy. Looks like this school authorities also never took any measures to request the civic authorities to finish this job during the summer vacation. Meanwhile, the school is going to reopen in another few days and possibles road tragedies are waiting on this road because of the careless nature of civic authorities.",Health
Storm water drains not cleaned before asphalting the road,Health
No parking,Roads
"We are in Bremont, Solidatire Street. We need Help, Food, Water, Shelter.",Water
"Street light not working.
maintenance not done.",Electricity
"According to Abdrahmanov of the seismology institute, 90 per cent of these illegal structures would not survive a six- or seven-point earthquake.",Housing
There has been continous letting if sewage water in the storm water drain leading seepage of sewage water into our borewell and few others of the area making it unfit for use. Mireover no cauvery water supply since 16 th feb 2019. Kindly attend ASAP,Health
"My House was destroyed, I have no money, I dont know what to do. ",Housing
This is bad my building has no heat hot water or power .I lost a lot in this storm my car work hours and over 300 hundred dollars in food .,Electricity
Not wearing seatbelt properly,Roads
students dropout increasing,Education
"Three firefighting helicopters Ka-32 and one Mi-26 are ready to fight fires in Shaturskiy, Yegoryevskiy and Orekhovo-Zuevo Regions. Australia's representative welcomed that IAEA's Director General had quickly set up a task force to enhance response capacities to outbreaks of zoonotic diseases, including the Ebola virus. Meanwhile, in Jakarta, incessant rain and high tides inundated several subdistricts in North and West Jakarta, the Jakarta Regional Disaster Mitigation Agency (BPBD) spokesman, Bambang Surya Putra, said on Friday. In the epicentral region of this earthquake, the Australian plate moves northwestwards with respect to the Sunda Plate at a rate of approximately 65 mm/yr. The south and centre of Mozambique have been affected over the last few days by a cold front that has brought thundery showers, particularly in coastal areas. Those living within the mountain range will be more exposed to cold conditions with possible snowfall, while others further into the valley will experience milder temperatures. Northwestern Rajshahi suffered the lowest temperatures in Bangladesh, plunging to 3.4 degrees Celsius (38 Fahrenheit) January 22. Strong wind, hailstorm and rain hit several municipalities of eastern Georgian region of Kakheti late on Monday. The northern mountainous regions normally receive 25% of total snowfall in the months of December and January, whereas only a quarter of it was recorded in these months. In most of the country planning for cold weather preparedness seems to be concluding in positive coordination efforts on the part of the NGOs as well as the UN. Jeremy Hobbs, Commnity Aid Abroad-Oxfam Australia's Executive Director said: Australians are well aware of the effects of devastating floods.",Health
Street light timing issue,Electricity
"Sagar here journalist as dump and waste and mori water and roads are damaged 
Please do need full 

Call 8904210147",Sanitation
If it rains can we go inside the houses or buildings,Housing
People from Grand Goave would like to ask the authorities if they are not human being like the rest of the peple on the island. They had no help since January 12,Transport
"a) Nurses, midwives and students from Yogyakarta, Bandung, and Sumatra are helping to conduct tetanus & measles immunization campaigns.",Health
"system and action plans 719,424 Dispatch of 2 forest fire control specialists to",Safety
"From last 10 days garbage vehicle not came we keeping garbage in home itself, some of them started through on road, please send vehicle ASAP, thanks in advance.",Sanitation
Why is water connection delayed,Water
What is the status of my ration card application?,Municipal
"Borewell pipes have been left out on the road for months now, cars and other vehicles find it difficult to cross.",Safety
"Several days earlier tropical storm Ketsana smashed into the Philippines, inundating most of the capital, Manila, with the heaviest rains in living memory.",Environment
Budalangi has an annual average rainfall of about 600mm while the catchment areas receive triple that.,Safety
"Garbage collector comes ar 930 am and parks the vehicle in the center of the road.
Upon the request to move the vehicle to side so that we can walk and move he starts cursing and purposefully delays garbage collection and parks the vehicle for some more time",Safety
"This BBMP garbage vehicle parking in two wheelers parking area this is second time i was complaining on this issue these vehicles drivers always parking these vehicles on road include garbage from this getting very bad smell hole day they parking these vehicles on road only if public questions on this they answers very badly and negligible answers, and they are taking advantage of parking in two wheelers parking area, Please take the action against this issue.",Sanitation
What do we do to avoid an epidemic? ,Health
"Please Help LEOGANE. We have no water, no tents, no food. Thanks.",Water
please help us find tends. Please.,Housing
"Pedestrians in Bangalore are treated like shit . This body sculpting gym can afford to invest in it's interiors but not in parking . Is it their footpath 

No sense or what . Some strict action has to be taken for this .",Roads
Broken footpath. Debris on footpath,Sanitation
"A senior UN relief official who visited the Kivus earlier this month noted that eastern DRC has been hit this year by massive humanitarian needs triggered by the rise of the M23 and violence by more than two dozen other armed groups across the region, with widespread abuses against civilians including murder, rape and brutal reprisals.",Safety
"Its been more than a year since the roads in this area are continuously being dug up and not repaired back.some say Kaveri water line, some say gas line but whatever it is ....it is making life really difficult for people staying here. I have to keep all doors and windows closed 24/7 in this hot weather and cannot take my baby out even for a minute because of the dust because of vehicles passing by this muddy roads.People have started planning to leave this area because of this reason.People are getting sick because of the dust.Request you to please do something about it.This will be highly appreciated!",Roads
My next house has landscape of Garbage to be cleaned on clearance. Moreover it will cause health hazard,Sanitation
We are very happy to have recieved an answer to our message. We hope we will find help. Thank you god bless,Transport
"In these neighbourhoods the ICRC has begun a winterization programme for 25,000 families, providing assistance to ensure basic shelter and heating.",Housing
"ZHOUQU, Gansu, Sept. 2 (Xinhua) -- The death toll from the massive mudslide in Zhouqu County, in northwest China's Gansu Province, has risen to 1,471 as of Wednesday after four more bodies were retrieved, with 294 others still missing, rescue headquarters said Thursday.",Safety
midday meal not provided,Education
I am in the road called Rue Benway in Ti Guave. We need a tent. We need food because we are dying of hunger. We have no money to buy the little food that is being sold. We need care. Please help.,Housing
No water for 2 days,Water
These fires are increasingly to be found inside tents as temperatures drop below freezing.,Safety
"The road beside NK Bar & Restaurant becomes unwalkable, its not at all possible to walk on the road, or get out of the colony as it is the only way out. The road is completely unconstructed. Request you to construct a proper road, which will solve the water flooding issue. This is getting worse day by day, and also the standing water leads to lots of mosquitos in the colony.",Roads
Garbage Vehicle has stopped accepting DRY GARBAGE.,Sanitation
"There are people under the Coeur Unis ( i'm guessing this is a church? ). And also, the hunger is killing me. Yesterday they pushed me so I did not recieve food. Fontamara 27. We need security a there are too many fights. ",Safety
I forget the site next to me giving aid and can give me a bed please ,Housing
"All the streetlights in our street don't work. Kindly fix the issue in our street at 1st cross Coconut Garden T Dasarahalli near Maruthi Medicals.
Nearest landmark Sharada school.",Electricity
dog bite near school,Animal Control
Ration card not received for long time,Municipal
Street light is not working from couple of weeks .no one turned to repair it,Electricity
"My wife is pregnant, she was hit by a block on Jan 12th, she went to the hospital and they said the baby has been moved. She's at the hospital called St. Therese Miragwan, he doesn't have any money to get her ",Health
Please clear the Garbage.,Sanitation
"Some 33 people have died over the last two weeks and at least 30,000 families along the principal rivers have been affected, with adverse weather conditions expected to continue until mid-December.",Transport
"Few days after, two home-made bomb blast have damaged the offices of local NGOs, Civilian Reinforcement Institute and Center for Peace and Conflict Reconciliation in Poso -- Central Sulawesi.",Housing
"Attention! Help for those who live in Del Valle City, near Santiago, those who need urgent food and water! #MSF #Chile #Help",Water
That s a lot of damage. RT roxeteer Photos from Haiti after the earthquake http bit.ly 81wajd,Health
"Good night all person that in Boukman street are geting wet, we don't have tent.Thanks ",Environment
The teams involved in rescue and relief operations also include doctors and paramedic staff.,Health
"Road side drainage has not been built properly and causing citizens lot of troubles, they dint built shoulder so that rain water can enter the drain.
If questions are raised they reply what we are doing is more than enough for us. They have Not used good materials to build the drain and finishing has been horrible. This is on going work from past 6 months",Roads
"Street lights not working from Gubbalala road to Hill View college road (Canara Bank Road,)",Electricity
"Residents were using their bare hands, hoes, trowels, shovels as well as bulldozers and other earth-moving equipment to dig through sand, mud and rubble in search of bodies or people still alive.",Safety
Dry Waste is not being collected for last one week irrespective of repeated follow-up. The waste bins has already been filled-up. Kindly address to early clearance of dry waste.,Sanitation
"Damaged health facilities must start treating survivors as quickly as possible for injuries, potential diarrhoeal diseases and acute respiratory infections and psychosocial trauma.",Health
"The recent military incursion by Kenyan forces into Somalia, as well as insecurity in refugee camps on the Kenyan side of the border, is also impacting on the humanitarian situation in certain areas of Kenya and Somalia.",Safety
"By the time the tsunami hit, there were basically no SLRCS tracing caseworkers to be found in Ampara.",Safety
"Although the government had committed itself to repairing roads, bridges and airstrips, much more still remains to be done.",Transport
"we need food, water, toilets and security forces need to be present when the distribution of goods happens. We are on the Plaza in Canape Vert ( Place Canape Vert ). Please bring tents. Please save us. ( FRENCH ) Nous avons besoin de nourriture, d'eau, de WC. SVP venez avec les forces de securite pour garantir le bon droulement de la distribution de ces items. Nous sommes sur la place du Canape Vert. apportez aussi des tentes. SVP aidez nous.",Water
"A lot of soil accumulated due to metro work and road get narrowed down at the locations and causing a daily traffic jam.
Most bikes take the wrong route and drive on the wrong side.
two-wheelers are finding it difficult to ride due to sand accumulated.
Manholes are  raised high and are not in conditions and right in mid-road with a big pot hole.",Roads
"The sewage line is not provided. The Sewage pit in front of our house is an dead end pit. All the sewage is overflowing and blocking our pipe lines. The sewage is entering into the house. When we ask the officials they say we need to bear the entire amount of the pipeline, we are ready to pay some amount but not the entire amount.",Health
ach_bakunas fuk the hurricane I'm gunna dieeee,Environment
name change in records pending,Municipal
"Travelling along a levee, the convoy was halted 60 kilometres from its destination at a portion of the structure that had crumbled under the strain.",Transport
UNICEF also provided tents to Bhubaneswar hospital during a diarrhoea outbreak to increase bedspace,Health
"Last year, China suffered some of the worst flooding in years with nearly 3,000 people reported killed or missing in the annual deluges that strike the nation's rural areas.",Safety
Very low water pressure,Water
Application status still unchanged,Municipal
No street lights from iblur flyover to till Agara flyover. please repair ASAP,Electricity
Final civic check request,Municipal
"Dear Sir/Madam, 

I am resident of Iris supreme association in Amruth Nagar , I request you to clear Garbage black right in front of society Gate, also all black spots within our area. Area is so nice but Garbage all over makes area stink and backwards. Its a Humble request.",Sanitation
Thousands Feared Dead as Major Quake Strikes Haiti PORT AU PRINCE Reuters A major earthquake rocked Haiti . http bit.ly 5Z5hGM,Housing
There is no proper supply of water in our area. The person incharge asks for money frequently to supply water. And gives preference for the people who pay him money for the rest he doesnt care. Please take necessary action. Incharge name is Mr.Ravi,Water
"Garbage clearance is not done on daily basis, regularly . Garbages are kept on road and dogs , monkeys open all the bags & rotten , stinking throughout day / days if not cleared ..Many complaints to the supervisior but no vain..",Sanitation
Since one week no body lift garbage,Sanitation
municipal tax overcharged,Municipal
"The road near Nice road junction, in the outer ring road after Nayandahalli towards Avalahalli New layout is very congested. though the Government and NICE company road is available to de-congest the road the government is not making any effort as a result we the commuter has to suffer a lot to cross a stretch of 500 meters. We have to give a representation to the Government to take back the vacant land from NICE Company and with other available Govt. land the road needs to be widened to avoid heavy traffic jam, which is very very necessary.",Roads
"In Jakkur, Telecom Layout, There is storm water ditch which is flowing from 16th cross, passing thru almost all the streets like 15th cross, 14th cross etc.  There is a blockage at 12th cross, due to which we see water clogging on one side of the ditch and empty channel on the other side. Added both the photos. Please remove this blockage and make it flow freely. Due to this blockage, we see a increase in mosquitoes in this area. We have a good number of children in this street, also, there is a school (Rakum school for blind) in the next street. Please help in protecting the kids from deadliest diseases like Malaria, Typhoid, Dengue  etc..  Thanks for the help and action in advance!!",Health
Street poll already got bend and little crack in the poll... during rainy season diffently it fall...please replace immediately,Electricity
Rejected application no reason,Municipal
"Youths are seen smoking ganja openly on 3rd cross Vivekananda Nagar. Ward No 59. From past few days ""not so familiar faces are also seen loitering'. Few months back a two wheeler was also stolen. Never seen police patrolling the roads since several month. Please act before any untoward incidents occurs. Thanks.",Safety
"We are LYPEDHA organization. We need support from other organizations or everybody around the world to help people in our area. We have no food, no water, no.. SEE NOTES BELOW ",Water
There is huge pothole on the road beside Leela Palace. very dangerous for 2 wheelers. Please fix it.,Roads
"The Dwarkanagar 2nd Cross road would need additional street light to avoid nuisance towards people drinking on the road , urination and garbage littering. Many senior citizens and woman use this alternate road to avoid the main road which is a havao and a menace on its own. Request to evaluate and consider",Electricity
Need toilet at bus stop outside Ramagondanahalli govt school wall,Sanitation
"Sir,  I have to state that a bore was dug last 6 months back and till date the connection is not given.  Further, i have to state that the situation of the roads in this area is so pathetic that we are unable even to walk because of drainage and cauvery water pipeline digging.  The contractors are not completing the work in one are, they just dig in one line and the other line is left and when asked they say that it is not mentioned in their plan.  Further I have to state that there is a lot of scarcity of water in our are, i request you kindly look into the matter with top priority and also if the water connection where the borewell has been dug  can be given connection.  When ever the waterman or the engineer is contacted for the connection, they say one or the other problem and escape,  even after six months the situation of the borewell which was dug in aswathnager is not given connection.  I request you kindly please look into the matter personally and do the needful",Water
Footpaths occupied by shops,Sanitation
40 km of road are unpassable and one bridge was destroyed.,Transport
Abc trial jkljccgkk trying app only to understand,Sanitation
"Clear garbage strewn by employees of CSC, BSNL, 5th Block, Jayanagar, Bengaluru after their strike on 26.02.2020",Sanitation
Ration card status not updated,Municipal
"SAP Road to Graphite India turn , kindly fix this raod",Roads
"In the short-term, CARE is providing medicine to combat diarrhea, cholera and other diseases; hygiene messages instructing villagers on what steps to take to prevent waterborne diseases; and five tons of food and other basic necessities.",Health
"Driving around South beach and all I can do is cry. Devastating #Sandy@MonikaBurgos19 I would love to. Except there's no flights, trains or busses out of New York!!! #sandy is a bit*h.",Transport
Garbage gets piled up everyday and no action is being taken,Sanitation
"The Malian authorities must also waste no time in starting negotiations with the legitimate representatives of the peoples of the north and non-terrorist armed groups that recognise the integrity of Mali. As a first-responder after the 2004 tsunami that killed 250,000 people across Southeast Asia, IMC was able to deliver medical services and supplies to the people in remote areas of Indonesia. It is essential to use boiled water for drinking purposes.",Water
"Unauthorized tea shop being set up on 1st main , 80 ft road junction Defence colony , Indiranagar, Bangalore",Housing
"Riot police opened fire on some 500 villagers who ransacked a railway station and threw stones at relief officials in Lohna village in Bihar's flood-hit Darbhanga district, said A.N Jha, spokesman of the Railway Protection Force.",Transport
Most of the time this street light won't work,Electricity
The street light in our road is not working,Electricity
"Good evening, we live in Bon Repos in the area of Rose amber (?) at the entrance of route .. Since January 12th, no one came to see us. Our house is destroyed, we are in the street and we are asking for aid. ",Housing
Road is completely damaged. A lot of garbage are dumped on the road,Sanitation
"Last Friday, i.e.4.7.2021, there was heavy rainfall accompanied by thunderstorm that resulted in in a tall tree getting uprooted and fall. The fallen tree is resting on a lamp post.  After complaint to BESCOM/KEB the power supply to that line was cut off with the assurance to clear the fallen tree.  This has not been done till date and the tree continues to hang on precariously with the support of overhead cables and the lamp post, This is a potential danger to the numerous vehicles that go past. It can fall on anyone if it rains again heavily.",Sanitation
We did not receive either food or tents! ,Housing
"As relief groups in southern Africa rush relief to hundreds of thousands of people driven from their homes by flooding, the prospect of an even larger catastrophe looms with every rising river.",Housing
I have a person alive under the Caribbean market. help me save them.,Health
"All the streets in this area were very well constructed in past.
But recently, have been dug for some or other reason like Bescom, GAIL,  etc but while closing the pots were not filled properly.

Now the roads are dangerous with large pot holes. Large enough for a truck to be struck in them.

This is very dangerous and should be fixed  before it causes more damage to vehicles.

This is specially,m dangerous for pedestrians as it has started raining And these streets have become slippery and pots full of water.",Roads
The entire strech from gubalala main road has been dug up and left in attended . its getting really hard to commute in the road especially during monsoon showers. please tar the complete gubalala main road at the earliest,Roads
information for the hurricane season ,Environment
"And we will continue the child centered spaces for the younger children as they return to their communities.""",Safety
"As transport companies suspend services, cutting off the region, governments and economists have warned that the worst outbreak of the hemorrhagic Ebola fever on record could crush the fragile economic gains made in Sierra Leone and Liberia following a decade of civil war in the 1990s.",Electricity
"While the storage tanks all appeared to have survived the battering from heavy rain on Sunday, the concrete overflow barriers around them were not high enough to contain the rainwater runoff in several places.",Transport
"There is a broken tree on the road. Kindly clear this.
Address : 13th Main Rd, 12th Cross. Sunshine Colony. BTM Layout 2nd Stage. 560076.",Sanitation
"More than 100,000 Sri Lankan families benefited from livelihood cash grants, with the first installment paid within three months of the tsunami, which reduced immediate suffering, restored livelihoods, and restarted local economies.",Housing
"Mother has 4 children and 3 other children from a sister who died and, 1 child from another brother who died and, i1 other child from the brother of his husband who died. In total 9 children are under her responsibility. .. Note : Track by phone. ..",Safety
"Most of the deaths following Thursday's cyclone were caused by a tidal wave which engulfed coastal villages, or by flying debris and falling trees that crushed flimsy bamboo and tin homes -- the best that most people in the country can afford.",Housing
"In Songo, hail stones wrecked many hectares of crops, while flooding in Mayengo and Kirama resulted in the loss of an estimated 63 tonnes of food for 600 families.",Environment
Street light not working at night,Electricity
No footpaths in Navya Nagar,Sanitation
dog bite near school,Animal Control
"Good evening, we are from the Survival comitte Delma 33, Jack premye, ri sengor ( in Citron on the football field ) We need food. Rice, peas and corn flour",Transport
"India meanwhile flew in 13 military transport planes loaded with tonnes of food, blankets and other aid.",Transport
It was the second severe hail storm to hit the province this month.,Environment
Need public toilet,Health
Residents claim the flooding was due to poor drainage systems in the area.,Environment
"Right now, Panathur road connects Gunjur palya from Bellandur road railway station is mud road and it creates lof of dust and difficult to travel. So, I would request to tar the panathur road and make our travel easy and dust free.",Roads
Streetlights in my lane are not working from 5 months and women and kids can't get out of house without lights. Also garbage is not collected on regular basis,Electricity
"Regarding the public concern on seafood to be contaminated by toxic substance such as, cadmium, the Medical Science Regional Centers in Changwat Trang, Surat Thani, and Songkhla have been ordered to be on a full alert to detect any of heavy metals contaminants.",Safety
"In a related development, Mr. Ban has noted the Government's decision to proceed with the constitutional referendum scheduled for 10 May, while postponing it in some of the areas most affected by the cyclone.",Environment
"I'm homeless, I need a tent for the kids.",Housing
"KABUL, Feb 17 (AFP) - At least 30 percent of children in Afghanistan's quake-hit Wardak province have caught pneumonia as continued aftershocks scare them into staying out doors in freezing temperatures, official Radio Shariat said Wednesday.",Health
"Big problem that we have in Barade, we are asking Digi to see what it can do for us so we do not die of food starvation. Ok Thank you.",Water
".. . everything. Until now we haven't received any aid. We've lost a sister who left a 9 months baby with a 12 year-old. We urgently need aid : food, water, etc. in that/this. .. ",Water
NOTES: We need water and health care at rue Cadet Jeremie in Carrefour-Feuilles. Thank you.,Water
rat infestation in building,Animal Control
"The breach was noticed where Chitti bein (rivulet) merges with the Sutlej river near Mundikalu village at midnight and within hours about ten villages of the area were flooded with 8 to 10 feet water, they said, adding no loss of life has been reported.",Environment
Street light at 20th main BSK I Stage Ii block Bangalore,Electricity
S.O.S. for Morne  Cabrits. There is a fire every night at 'Morne  Cabrits. No one seems to mention that. take a look now after this (SMS) text message. Thank you. ,Safety
Saw a documentary today about an earthquake in China now what s happening in Haiti..it s really sad.,Water
Recommended malaria prophylaxis for persons traveling to areas affected by the tsunami:,Health
"Sharing his view after visiting the Bogale Township, Mr Faruqi said, ""Schools reconstruction project is the first IDB supported emergency assistance project in Myanmar.",Housing
"Without water chlorination tablets, oral rehydration salts and intravenous fluids, thousands were at risk for dehydration and death.",Health
"Lesotho and Swaziland would also experience scattered rains, he noted.",Environment
"Earlier, two Emergencies Ministry motor convoys transported to wildfire victims in Khakassia about 80 tonnes of relief goods since the middle of April 2015.",Safety
"The Corner house in (1st main 6th cross premnagar laggere survey Bangalore - 58) has constructed steps on the drainage area including some portion of the road.

This is causing difficulty for vehicles to cross over to the inner area.

Localities have requested owner not to construct the steps causing problem to the public, but still they have not considered the request and proceeded with the construction.

It is a 25 sqft road, which is very small for the vehicles to move, after the step construction it has become impossible for the vehicles.

Please Kindly consider the request to remove the portion of steps which is included to the drainage area and road.",Housing
