text,priority
Fontamara 43 Polish church body of christ people in need please advise,High
garbage not collected for 3 days,Medium
suggestion for better lighting,Low
I would like to leave this country and at my parents house in the USA. We are alone in Haiti. This is my number,High
This person wants to know what the autority plans to do.,High
name board faded,Low
there is a fire in the building,High
noise from factory at night,Medium
request for pedestrian path,Low
rin more or less 3000 people - incomplete,High
CYBER CAFE THAT IS FUNCTIONING EXPLOSION,High
request for speed breaker,Low
road marking faded,Medium
broken playground equipment,Medium
encroachment on footpath,Medium
minor water pressure issue,Low
suggestion to improve park,Low
water leakage from pipe,Medium
public tap not working,Medium
suggestion to improve park,Low
chemical smell from drain,High
broken footpath,Medium
construction debris on road,Medium
broken playground equipment,Medium
construction debris on road,Medium
Apparently there's a wave of cold upon Cuba this morning. It could go across haiti this morning. There will be rain for today in our region,High
encroachment on footpath,Medium
electricity fluctuation,Medium
transformer exploded near houses,High
pothole on main road,Medium
tree fell on person,High
drainage overflow near houses,Medium
encroachment on footpath,Medium
road marking faded,Medium
feedback on road cleanliness,Low
name board faded,Low
please paint the park benches,Low
suggestion to improve park,Low
feedback on road cleanliness,Low
please paint the park benches,Low
Bizoton desperately needs help. We are humiliated.,High
fire in market,High
minor water pressure issue,Low
road marking faded,Medium
noise from factory at night,Medium
please paint the park benches,Low
sewage burst on main road,High
Please save me! I am in Section Grand Riviere Leogane. I have one who already has a fever and non-stop diarrhea. I haven't found a hospital that can help me!,High
request to plant more trees,Low
water leakage from pipe,Medium
I woul like to know if aide is only available in pap as the provinces where badly hit as well,High
request to plant more trees,Low
minor crack on footpath,Low
garbage not collected for 3 days,Medium
water leakage from pipe,Medium
mob violence in street,High
water pressure low in morning,Medium
"We are a few kilometers in the road to jacmel, Please come help us",High
tree fell on person,High
feedback on road cleanliness,Low
request to plant more trees,Low
illegal parking blocking road,Medium
minor water pressure issue,Low
road needs repair near school,Medium
water supply irregular,Medium
request for pedestrian path,Low
minor water pressure issue,Low
"The Comite Miracle in the area of Alerte Rue Monseigneur Guilloux, ( Streets, Alerte and the cross street is Mgr Guilloux ) would like to urgently receive food, water and tents for the people in that area. Thanks",High
illegal parking blocking road,Medium
public tap not working,Medium
mosquito breeding,Medium
streetlight not working,Medium
aid should reach the victims outside the city of p-au-p. we are in Gonaives when u get this message,High
We are in Sainte Bernadette. There are 2 areas that have not received anything. We are buying water ( warm ) for 5 gourdes.,High
how can we find aid and food in fontamara ( carrefour ),High
public toilet not clean,Medium
there is a fire in the building,High
hospital refusing emergency patient,High
foul smell from drain,Medium
feedback on road cleanliness,Low
request to plant more trees,Low
.. .. . we are here our mother has no more water. if you are there let us know ( location not provided ),High
suggestion to add more dustbins,Low
chemical smell from drain,High
We are in Plaine du Cul-de-sac. Where's the nearest food distribution?,High
gas leak in apartment,High
road marking faded,Medium
We need help please. .. call us,High
stray dogs near school,Medium
dustbin overflowing in market,Medium
foul smell from drain,Medium
emergency no water for 3 days in summer,High
minor water pressure issue,Low
request to plant more trees,Low
construction debris on road,Medium
streetlight not working,Medium
suggestion to add CCTV,Low
construction debris on road,Medium
gas leak in apartment,High
public toilet not clean,Medium
suggestion for more bus stops,Low
we are in leogane mathieu abitation 3rd communal section grand riviere we are waiting.,High
suggestion to add CCTV,Low
public toilet not clean,Medium
encroachment on footpath,Medium
request for area beautification,Low
request for speed breaker,Low
public toilet not clean,Medium
request for pedestrian path,Low
bus stop broken,Medium
water pressure low in morning,Medium
small pothole near corner,Low
request for zebra crossing paint,Low
request for zebra crossing paint,Low
"Sodecom cyber cafe. We are based in Bassin Bleu, rue Saint-Michel, after the old Teleco building. We are functioning.",High
Emergency aid needed at the Centre Flore for Damien on the grounds Pampak of the unibank,High
"We live in La plaine, we've sleeping in the streets since tuesday. Our house is destroyed. We are dying of thirst and hunger. we can't take this anymore. we'd like to know when the help is coming.",High
request for pedestrian path,Low
sewer line blocked,Medium
public tap not working,Medium
flood in our area,High
broken footpath,Medium
road needs repair near school,Medium
request for area beautification,Low
request for pedestrian path,Low
suggestion for better lighting,Low
We are dying of hunger in Petion Ville,High
minor drain blockage,Low
name board faded,Low
request to trim overgrown trees,Low
small pothole near corner,Low
broken footpath,Medium
suggestion to add more dustbins,Low
sewer line blocked,Medium
bus stop broken,Medium
suggestion to add more dustbins,Low
we re in carrefour rue ray near the edh building. we cannot take it any more. everything is finished. we cannot find the people.,High
construction debris on road,Medium
mosquito breeding,Medium
manhole open on busy road,High
fire in market,High
no street light in lane,Medium
please paint the park benches,Low
request for zebra crossing paint,Low
I live in St. Louis. I have some problems. Can take me some place because I have problems in Port au Prince. Thank you for your help!,High
request for speed breaker,Low
sewage burst on main road,High
feedback about park cleanliness,Low
transformer exploded near houses,High
name board faded,Low
electrocution accident near pole,High
name board faded,Low
Hello Good Morning We live on 31 Delmas we are without water without food and what we had have finished Please do something for us!,High
the people in the village of god need food and water so that they can stay. It is isn the university of Kiskeya ( in the area of delams 35 right of the main delmas road ). pleas respond,High
drainage overflow near houses,Medium
road needs repair near school,Medium
mosquito breeding,Medium
no cybercafe working close to where i live,High
major accident on highway,High
"unrecognized characterse initial formation accelerated, organized by MENFP, financed by BID, launched in truncated",High
illegal parking blocking road,Medium
water leakage from pipe,Medium
suggestion to add more dustbins,Low
minor drain blockage,Low
pothole on main road,Medium
"I have no card, tell me what kind of SMS I need to send",High
"hello my brother and my sister are in jan rabel we dont have anyone with us, if there is something we can do for the population we can do it because we are from port au prince",High
encroachment on footpath,Medium
feedback about park cleanliness,Low
suggestion for better lighting,Low
drainage overflow near houses,Medium
"Please, we need tents and water. We are in Silo, Thank you!",High
suggestion to add more dustbins,Low
noise from factory at night,Medium
suggestion to improve park,Low
streetlight not working,Medium
suggestion to add CCTV,Low
They have brought something today but the heads of the National Television took all of them for their family members. They had not done a fair distribution. Please help us. THanks.,High
dustbin overflowing in market,Medium
request for speed breaker,Low
"Hygienic . .. , mobile toilets, batteries, generators, DLO? toiletries, clothes, linens, underwear. .. 289 women, 181 men",High
noise from factory at night,Medium
feedback on road cleanliness,Low
illegal parking blocking road,Medium
water supply irregular,Medium
i need a litle credit on my count,High
request for pedestrian path,Low
road marking faded,Medium
"The ADJS group house in Jacmel. They are talking with people in the southeast. There are a lot of victims and people suffering, especially in Jacmel. Something about an entire house collapsing. The road sot pop in Jacmel is cut off.",High
manhole open on busy road,High
Good afternoon. We live Dubois ( at the top of mountain Saint Antoine ). Hunger is Killing us!. WE NEED HELP!,High
bus stop broken,Medium
public tap not working,Medium
name board faded,Low
"We are at the top of Fontamara 43 (area of Carrefour), at the top of the hill named label.. unrecognized characters. We did not get any assistance: water, food, tents, medicine.",High
suggestion for more bus stops,Low
noise from factory at night,Medium
road needs repair near school,Medium
suggestion for better lighting,Low
construction debris on road,Medium
feedback on road cleanliness,Low
child missing in our area,High
electric wire fallen on road,High
ples give us cell cards ( cell phone minuts ) we cannot find cell phone cards to buy,High
cyber cafe global univercell cabaret 35 km from port au prince,High
person collapsed on street,High
"i am very happy, i hear god, religious hyme",High
minor crack on footpath,Low
electrocution accident near pole,High
bus stop broken,Medium
There are many people badly wounded who had to go who can not eat.,High
suggestion for better lighting,Low
request for zebra crossing paint,Low
construction debris on road,Medium
water leakage from pipe,Medium
feedback about park cleanliness,Low
sewer line blocked,Medium
foul smell from drain,Medium
dustbin overflowing in market,Medium
minor drain blockage,Low
small pothole near corner,Low
streetlight not working,Medium
please paint the park benches,Low
suggestion to improve park,Low
suggestion for better lighting,Low
public toilet not clean,Medium
construction debris on road,Medium
water supply irregular,Medium
People from Jacmel are requesting a tractor in that area because there is a civil unrest and social disturbance in that area.,High
foul smell from drain,Medium
noise from factory at night,Medium
please paint the park benches,Low
drainage overflow near houses,Medium
"A Comitee in Delmas 19, Rue ( street ) Janvier, Impasse Charite #2. We have about 500 people in a temporary shelter and we are in dire need of Water, Food, Medications, Tents and Clothes. Please stop by and see us.",High
"This is the Arab from Canal Bleu ( Artist-Journalist ), I have nothing that I want, along with all my family and I have a mission to give news about all artists that are alive. Canal Bleu seems to be a TV station not a location.",High
"Onere and some food. Thanks for your understanding. ( Translator's note : are we getting the full messages? Most of them appear to be bits of sentences, like this one )",High
fire in market,High
"so, in the message you spoke of registering names. I'd like to know what purpose this serves. help me out. thank you",High
electricity fluctuation,Medium
"Digicel, please put some credit on our phones",High
bus stop broken,Medium
"We are at KF Marotiere 85, we have food and water shortage, please send food for us.",High
request for area beautification,Low
"Us, the tradeswoman of dessalines, rue perodin. we have problems. I have a lot of people in my house. Help me!",High
request to trim overgrown trees,Low
streetlight not working,Medium
dustbin overflowing in market,Medium
"Please, call or write us if you need more information or if you need our help like beeing translators, food distributors or any services else from us. Th",High
feedback about park cleanliness,Low
"Cannot locate on map, not sure if in Port-au-Prince We need aid nan delma (?) 9 rue de cosquer 16",High
noise from factory at night,Medium
dustbin overflowing in market,Medium
old bench in park needs repair,Low
request to trim overgrown trees,Low
"Good evening, Radio one please. I would like information on Tiyous.",High
feedback about park cleanliness,Low
small pothole near corner,Low
suggestion to add CCTV,Low
streetlight not working,Medium
"Carrefour Feuille extended, we need help. We are waiting!",High
suggestion to add more dustbins,Low
"We are more than 50 people sleeping on the street. Please help us find tent, food.",High
bus stop broken,Medium
drainage overflow near houses,Medium
minor water pressure issue,Low
public toilet not clean,Medium
pothole on main road,Medium
PEWODEN FIFTH SECTION OF THE DEPARTEMEN OF L'ARTIBONITE IS LETTIN U KNOW TODAY THE PLAN WE HAVE FOR THOSE INJURED IN THE EARTQUAKE. LIKE MANY OF THOSE IN P.,High
fire in market,High
minor crack on footpath,Low
mosquito breeding,Medium
broken footpath,Medium
HELP FOR THE CENTER OF FLORE around 400 demunis in DAMIEN to unibank in the yard of Pam pak,High
request for pedestrian path,Low
dustbin overflowing in market,Medium
no street light in lane,Medium
water supply irregular,Medium
feedback about park cleanliness,Low
minor water pressure issue,Low
small pothole near corner,Low
streetlight not working,Medium
request for speed breaker,Low
water pressure low in morning,Medium
serious injury in road accident,High
broken playground equipment,Medium
request for zebra crossing paint,Low
major accident on highway,High
request for area beautification,Low
sewage burst on main road,High
request to trim overgrown trees,Low
garbage not collected for 3 days,Medium
electrocution accident near pole,High
suggestion to improve park,Low
Weather update - a cold front from Cuba that could pass over Haiti,High
road needs repair near school,Medium
someone being attacked,High
"Hi, I have a big problem I need to call overseas and tell them I'm ok but I have no cell phone minutes, how can you help me in that respect",High
illegal parking blocking road,Medium
suggestion to add more dustbins,Low
flood in our area,High
